Split, Time,     Length,Temp
1,5.2,5.2,21
2,7.2,2,20
3,18.3,11,21
4,20.2,1.9,22
5,21.1,0.8,23
6,25.2,4,24
7,26.7,1.5,23
8,28.5,1.7,24
9,34.4,5.8,25
10,36.2,1.8,26
11,38.3,2,27
12,45.3,7,28
13,47.4,2.1,29
14,48.8,1.3,30
15,49.9,1.1,31
16,60.4,10.5,32
17,62.6,2.1,33
18,71.2,8.5,34
19,72.6,1.3,35
20,74.7,2,36
21,77.5,2.8,37
22,84.9,7.3,38
23,85.1,0.1,39
24,91.7,6.6,40
25,93,1.3,41
26,94.7,1.6,42
27,100.9,6.1,43
28,103.8,2.9,44
29,109.8,6,45
30,112,2.1,46
31,117.4,5.4,47
32,123,5.5,48
33,125.9,2.8,49
34,132,6.1,50
35,135.1,3.1,51
36,138.1,2.9,52
37,143.1,5,53
38,146.2,3.1,54
39,151.3,5,55
40,154.2,2.9,56
41,158.2,3.9,57
42,161.3,3.1,58
43,163.4,2,59
44,167.6,4.1,60
45,173.5,5.8,61
46,176.9,3.4,62
47,180.5,3.5,63
48,184.2,3.6,64
49,188.7,4.5,65
50,194.7,5.9,66
51,195.9,1.2,67
52,197.8,1.9,68
53,199,1.1,67
54,200.6,1.6,68
55,204.8,4.1,69
56,211.9,7,70
57,213.2,1.2,72
58,218.4,5.2,73
59,220.1,1.7,74
60,225,4.8,75
61,232,7,76
62,235.3,3.2,77
63,239.2,3.8,78
64,244.1,4.9,79
65,247,2.8,81
66,254.2,7.2,82
67,259.3,5.1,83
68,261.2,1.8,84
69,267.1,5.9,83
70,268.5,1.4,84
71,270.4,1.8,85
72,272,1.6,86
73,277.5,5.4,87
74,280.6,3.1,88
75,284.3,3.6,89
76,291.7,7.3,90
77,294.8,3,91
78,300.5,5.7,92
79,302.6,2,93
80,323,20.3,94
81,353.2,30.2,95
82,361.2,8,96
83,382.1,20.8,97
84,399.6,17.4,98
85,415.5,15.9,99
86,447.7,32.1,100

